XCoord;YCoord;ACT_NUM;STATUS_1;TYPE_DESC;DT_ENT;DESCRIPTION;ADDRESSFULL;NAME;PARCEL
1030475.62500000;403684.81266404;T11DV07527;NOVERIFY;WORK WITHOUT PERMITS-COMMERCL;2011-09-21 00:00:00;Large basin dug with no fence or permits. Caller complained about standing water and how kids can fall into the basin.;8068 S NAUTILUS DR      ;NULL;141097390
1048563.43766404;403688.87500000;T13DV05615;COMPLIAN;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;8096 S CARBURY WY      ;Rita Ranch;141140760
1049264.37500000;403712.93766404;T13DV03539;NOVERIFY;ENVIRONMENTAL;2013-05-22 00:00:00;PALM TREE (30FT) IN BACK YARD HAS NEVER BEEN TRIMMED-;9546 E DUNNIGAN DR      ;Rita Ranch;141141800
1049342.87500000;403735.84383202;T13DV03950;COMPLIAN;ENVIRONMENTAL;2013-06-06 00:00:00;PALM TREE IN REAR YARD NEVER BEEN TRIMMED;9552 E DUNNIGAN DR      ;Rita Ranch;141141790
1053190.50000000;403749.90616798;T12DV04016;COMPLIAN;WEEDS;2012-05-15 00:00:00;GRASS AND WEEDS;10155 E SUNSET MEADOW PL      ;Rita Ranch;141152860
1049810.00000000;403753.59383202;T13DV02331;COMPLIAN;WEEDS;2013-04-11 00:00:00;GRASS AND WEEDS;9616 E BANBRIDGE ST      ;Rita Ranch;141140540
1048481.56266404;403757.43766404;T13DV05614;COMPLIAN;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;8080 S CARBURY WY      ;Rita Ranch;141140780
1049004.12500000;403762.81266404;T11DV06722;COMPLIAN;RESIDENTIAL STORAGE;2011-08-24 00:00:00;A neighbor helped cut down the large limb and cut it into moveable pieces on Sunday, August 14th.  The entire yard is now covered in the limbs that are drying and look like a fire hazard.  Possible breeding ground for mosquitoes;8086 S NEW ABBEY DR      ;Rita Ranch;141141830
1053058.37500000;403785.81266404;T12DV04015;COMPLIAN;WEEDS;2012-05-15 00:00:00;GRASS AND WEEDS;10131 E SUNSET MEADOW PL      ;Rita Ranch;141152830
1049860.50000000;403791.93766404;T13DV02332;COMPLIAN;WEEDS;2013-04-11 00:00:00;GRASS AND WEEDS;9624 E BANBRIDGE ST      ;Rita Ranch;141140530
1049860.50000000;403791.93766404;T13DV05616;PENDING ;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;9624 E BANBRIDGE ST      ;Rita Ranch;141140530
1047321.00000000;403844.25000000;T11DV07497;COMPLIAN;WEEDS;2011-09-20 00:00:00;Overgrown weeds;8051 S QUEEN CREEK DR      ;Rita Ranch;141281300
1048617.50000000;403861.75000000;T13DV05950;COMPLIAN;WEEDS;2013-08-13 00:00:00;Tree blocking right of way- storm knocked over- fallen onto sidewalk in front of property over a month;8089 S CARBURY WY      ;Rita Ranch;141141050
1049529.62500000;403862.59383202;T13DV02333;COMPLIAN;WEEDS;2013-04-11 00:00:00;GRASS AND WEEDS;9570 E DUNNIGAN DR      ;Rita Ranch;141141760
1048321.56266404;403890.25000000;T13DV05612;PENDING ;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;8056 S CARBURY WY      ;Rita Ranch;141140810
1047189.43766404;403944.25000000;T12DV02425;NOVERIFY;EMERGENCY;2012-03-28 00:00:00;Bee hive at front of property above sidewalk on a tree Not swarming.;8050 S QUEEN CREEK DR      ;Rita Ranch;141280810
1027574.18766404;403967.06266404;T12DV10088;COMPLIAN;SIGN VIOLATION;2012-10-30 00:00:00;The NW corner of Wilmot & Hermans Road there are new signs for a new subdivision.  The sign is creating a sight obstruction, there is heavy traffic to and from the training academy & prison.;8041 S FARMVIEW PL      ;NULL;140440950
1048173.93766404;404014.96883202;T12DV08263;COMPLIAN;WEEDS;2012-09-06 00:00:00;GRASS AND WEEDS;8032 S CARBURY WY      ;Rita Ranch;141140830
1048173.93766404;404014.96883202;T13DV05609;COMPLIAN;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;8032 S CARBURY WY      ;Rita Ranch;141140830
1048423.37500000;404026.09383202;T13DV05613;COMPLIAN;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;8057 S CARBURY WY      ;Rita Ranch;141141010
1049133.50000000;404028.28116798;T13DV02392;COMPLIAN;ENVIRONMENTAL;2013-04-15 00:00:00;Trees are blocking sidewalk, and weeds in the back yard are very tall.;8024 S LENNOX LN      ;Rita Ranch;141142610
1049878.87500000;404043.93766404;T13DV05617;PENDING ;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;9647 E BANBRIDGE ST      ;Rita Ranch;141141270
1048386.06266404;404081.90616798;T12DV07658;NOVERIFY;WEEDS;2012-08-27 00:00:00;Overgrown weeds.;8049 S CARBURY WY      ;Rita Ranch;141141000
1048066.81266404;404096.53116798;T12DV08059;COMPLIAN;WEEDS;2012-09-05 00:00:00;Grass/weeds;8016 S CARBURY WY      ;Rita Ranch;141140850
1048066.81266404;404096.53116798;T13DV05608;PENDING ;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;8016 S CARBURY WY      ;Rita Ranch;141140850
1048066.81266404;404096.53116798;T13DV05611;COMPLIAN;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;8016 S CARBURY WY      ;Rita Ranch;141140850
1048879.50000000;404121.87500000;T10DV04570;COMPLIAN;JUNK MOTOR VEHICLES;2010-07-12 00:00:00;JMV - DARK TAN CADILLAC SEVILLE 4 DOOR.;8047 S NEW ABBEY DR      ;Rita Ranch;141142340
1048279.93766404;404146.31266404;T12DV08264;COMPLIAN;WEEDS;2012-09-06 00:00:00;GRASS AND WEEDS;8033 S CARBURY WY      ;Rita Ranch;141140990
1048279.93766404;404146.31266404;T13DV05574;COMPLIAN;WEEDS;2013-07-31 00:00:00;WEEDS NEAR CURB;8033 S CARBURY WY      ;Rita Ranch;141140990
1047972.37500000;404176.28116798;T13DV05602;COMPLIAN;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;8000 S CARBURY WY      ;Rita Ranch;141140870
1048478.18766404;404181.53116798;T12DV08711;COMPLIAN;WEEDS;2012-09-18 00:00:00;Overgrown weeds.;8006 S NEW ABBEY DR      ;Rita Ranch;141141930
1048478.18766404;404181.53116798;T13DV02329;COMPLIAN;WEEDS;2013-04-11 00:00:00;GRASS AND WEEDS;8006 S NEW ABBEY DR      ;Rita Ranch;141141930
1048478.18766404;404181.53116798;T13DV05573;COMPLIAN;WEEDS;2013-07-31 00:00:00;WEEDS NEAR CURB;8006 S NEW ABBEY DR      ;Rita Ranch;141141930
1049196.87500000;404210.06266404;T13DV02509;COMPLIAN;MULTIPLE TYPES;2013-04-17 00:00:00;GRASS & WEEDS, TRASH & DEBRIS;8017 S LENNOX LN      ;Rita Ranch;141142710
1048197.18766404;404242.03116798;T12DV04494;COMPLIAN;WEEDS;2012-05-30 00:00:00;GRASS AND WEEDS;8017 S CARBURY WY      ;Rita Ranch;141140970
1048132.81266404;404265.40616798;T13DV05607;COMPLIAN;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;8009 S CARBURY WY      ;Rita Ranch;141140960
1048384.68766404;404266.09383202;T12DV07501;COMPLIAN;WEEDS;2012-08-23 00:00:00;Overgrown weeds.;7990 S NEW ABBEY DR      ;Rita Ranch;141141940
1047828.68766404;404302.65616798;T12DV04495;COMPLIAN;WEEDS;2012-05-30 00:00:00;GRASS AND WEEDS;7976 S CARBURY WY      ;Rita Ranch;141140900
1048081.06266404;404305.71883202;T13DV05603;COMPLIAN;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;8001 S CARBURY WY      ;Rita Ranch;141140950
1048335.56266404;404307.28116798;T10DV05677;NOVERIFY;REFUSE;2010-08-25 00:00:00;EXCESSIVE TRASH/DEBRIS/FURNITURE ON PROPERTY;7982 S NEW ABBEY DR      ;Rita Ranch;141141950
1053348.37500000;404349.65616798;T10DV07293;NOVERIFY;MULTIPLE TYPES;2010-10-15 00:00:00;Overgrown weeds and refuse.;10175 E RAINBOW MEADOW DR      ;Rita Ranch;141152010
1022913.31266404;404364.00000000;T12DV10141;COMPLIAN;MULTIPLE TYPES;2012-11-01 00:00:00;Running auto parts junkyard from property. 9-10 JMV's - Flat tires and several cars on jacks.;5564 E FARMRIDGE DR      ;NULL;140441670
1028232.25000000;404364.03116798;T11DV06289;COMPLIAN;ENVIRONMENTAL;2011-08-05 00:00:00;Downed mesquite tree obstructing sidewalk and near street for over a month. Called Transportation/Streets department, which states HOA is reponsible for the maintenance and removal of tree, if in ROW.;6364 E RAVEN RUN LP      ;NULL;141093020
1050044.00000000;404393.37500000;T12DV04492;COMPLIAN;WEEDS;2012-05-30 00:00:00;GRASS AND WEEDS;9650 E SHETLAND PL      ;Rita Ranch;141141340
1048235.31266404;404393.96883202;T13DV05570;COMPLIAN;WEEDS;2013-07-31 00:00:00;WEEDS NEAR CURB AREA;7966 S NEW ABBEY DR      ;Rita Ranch;141141970
1048235.31266404;404393.96883202;T12DV06454;COMPLIAN;WEEDS;2012-08-02 00:00:00;WEEDS;7966 S NEW ABBEY DR      ;Rita Ranch;141141970
1048491.81266404;404394.84383202;T13DV05572;COMPLIAN;WEEDS;2013-07-31 00:00:00;WEEDS NEAR CURB;7991 S NEW ABBEY DR      ;Rita Ranch;141142290
1048439.43766404;404441.12500000;T13DV05571;COMPLIAN;WEEDS;2013-07-31 00:00:00;WEEDS NEAR CURB;7983 S NEW ABBEY DR      ;Rita Ranch;141142280
1048439.43766404;404441.12500000;T12DV06845;COMPLIAN;WEEDS;2012-08-07 00:00:00;GRASS AND WEEDS;7983 S NEW ABBEY DR      ;Rita Ranch;141142280
1051193.87500000;404503.56266404;T13DV03348;NOVERIFY;REFUSE;2013-05-14 00:00:00;At Rita Rd and Rankin Loop near Desert Sky Middle School a wash was cleaned up by neighbors and 5 or 6 garbage bags have been left there and ESD will not remove.;9850 E RANKIN LP      ;Rita Ranch;14115008P
1048534.93766404;404504.75000000;T12DV08993;COMPLIAN;WEEDS;2012-09-24 00:00:00;GRASS AND WEEDS;7978 S LENNOX LN      ;Rita Ranch;141145140
1052502.75000000;404512.78116798;T12DV04013;COMPLIAN;WEEDS;2012-05-15 00:00:00;GRASSS AND WEEDS;7964 S TEABERRY AV      ;Rita Ranch;141150620
1048775.00000000;404517.50000000;T12DV04499;COMPLIAN;ENVIRONMENTAL;2012-05-30 00:00:00;BROKEN TREE BRANCHES IN THE TREE AND ON GROUND;9454 E STONEHAVEN WY      ;Rita Ranch;141145200
1048296.18766404;404566.18766404;T13DV05621;COMPLIAN;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;7959 S NEW ABBEY DR      ;Rita Ranch;141142250
1048296.18766404;404566.18766404;T11DV05038;NOVERIFY;WEEDS;2011-07-05 00:00:00;PALM TREE STRUCK BY LIGHTNING DEAD AND 6' -7' TALL TUMBLEWEEDS IN BACKYARD;7959 S NEW ABBEY DR      ;Rita Ranch;141142250
1048296.18766404;404566.18766404;T13DV02327;COMPLIAN;WEEDS;2013-04-11 00:00:00;GRASS AND WEEDS;7959 S NEW ABBEY DR      ;Rita Ranch;141142250
1048431.50000000;404592.25000000;T12DV08989;COMPLIAN;WEEDS;2012-09-24 00:00:00;GRASS AND WEEDS;7960 S LENNOX LN      ;Rita Ranch;141145110
1047883.75000000;404607.25000000;T12DV06849;COMPLIAN;WEEDS;2012-08-07 00:00:00;GRASS AND WEEDS;7910 S NEW ABBEY DR      ;Rita Ranch;141142030
1048396.43766404;404621.21883202;T12DV08992;COMPLIAN;WEEDS;2012-09-24 00:00:00;GRASS AND WEEDS;7954 S LENNOX LN      ;Rita Ranch;141145100
1048855.25000000;404623.28116798;T12DV08915;COMPLIAN;WEEDS;2012-09-19 00:00:00;GRASS AND WEEDS;9472 E STONEHAVEN WY      ;Rita Ranch;141145230
1053015.75000000;404625.71883202;T13DV06184;PENDING ;RES: VACANT & ABANDONED;2013-08-21 00:00:00;Vacant and foreclosed property.  Back door wide open.  Pool full of mosquitoes, and overgrown weeds in front.;10123 E CANYON MEADOW DR      ;Rita Ranch;141152100
1048200.31266404;404649.37500000;T12DV06843;COMPLIAN;WEEDS;2012-08-07 00:00:00;GRASS AND WEEDS;7943 S NEW ABBEY DR      ;Rita Ranch;141142230
1048879.62500000;404664.87500000;T12DV08916;COMPLIAN;WEEDS;2012-09-19 00:00:00;GRASS AND WEEDS;9478 E STONEHAVEN WY      ;Rita Ranch;141145240
1048143.50000000;404692.50000000;T13DV05620;COMPLIAN;WEEDS;2013-08-01 00:00:00;GRASS AND WEEDS;7935 S NEW ABBEY DR      ;Rita Ranch;141142220
1048489.50000000;404745.06266404;T12DV08991;COMPLIAN;WEEDS;2012-09-24 00:00:00;GRASS AND WEEDS;7953 S LENNOX LN      ;Rita Ranch;141144800
1048489.50000000;404745.06266404;T13DV02324;COMPLIAN;WEEDS;2013-04-11 00:00:00;GRASS AND WEEDS;7953 S LENNOX LN      ;Rita Ranch;141144800
1047839.87500000;404760.56266404;T10DV06731;COMPLIAN;MULTIPLE TYPES;2010-09-30 00:00:00;HIGH GRASS / WEEDS THROUGHOUT THE PROPERTY;9324 E LOCHNAY LN      ;Rita Ranch;141142180
1048188.31266404;404791.12500000;T12DV08987;COMPLIAN;WEEDS;2012-09-24 00:00:00;GRASS AND WEEDS;7918 S LENNOX LN      ;Rita Ranch;141145040
1048146.31266404;404816.65616798;T12DV08986;COMPLIAN;WEEDS;2012-09-24 00:00:00;GRASS AND WEEDS;7912 S LENNOX LN      ;Rita Ranch;141145030
1048146.31266404;404816.65616798;T12DV04498;COMPLIAN;WEEDS;2012-05-30 00:00:00;GRASS AND WEEDS;7912 S LENNOX LN      ;Rita Ranch;141145030
1050817.37500000;404827.15616798;T10DV02236;NOVERIFY;WEEDS;2010-04-16 00:00:00;Overgrown weeds and vegetation;7920 S TARBELA AV      ;Rita Ranch;141166170
1050523.00000000;404829.46883202;T10DV04241;NOVERIFY;WORK WITHOUT PERMITS-RESIDENTL;2010-06-29 00:00:00;POSSIBLE RWOP/ATTACHED PORCH TO BACK OF PROPERTY;7920 S DANFORTH AV      ;Rita Ranch;141166030
1029795.93766404;404838.15616798;T13DV00694;COMPLIAN;REFUSE;2013-01-31 00:00:00;Dog feces behind the house.;6608 E SPLENDID LN      ;NULL;141092790
1048114.87500000;404843.21883202;T12DV08985;COMPLIAN;WEEDS;2012-09-24 00:00:00;GRASS AND WEEDS;7906 S LENNOX LN      ;Rita Ranch;141145020
1049626.75000000;404850.68766404;T12DV04491;COMPLIAN;WEEDS;2012-05-30 00:00:00;GRASS AND WEEDS;9617 E GLASGOW PL      ;Rita Ranch;141141480
1049626.75000000;404850.68766404;T10DV02578;COMPLIAN;WEEDS;2010-04-26 00:00:00;Overgrown weeds;9617 E GLASGOW PL      ;Rita Ranch;141141480
1051264.50000000;404858.00000000;T10DV02184;COMPLIAN;WEEDS;2010-04-14 00:00:00;Overgrown vegetation and weeds;9860 E BANBRIDGE ST      ;Rita Ranch;141165920
1048083.00000000;404875.96883202;T12DV08984;COMPLIAN;WEEDS;2012-09-24 00:00:00;GRASS AND WEEDS;7900 S LENNOX LN      ;Rita Ranch;141145010
1050479.75000000;404877.40616798;T13DV03007;COMPLIAN;RESIDENTIAL ZONING;2013-05-07 00:00:00;Trailer and vehiclde blocking the ROW;7910 S DANFORTH AV      ;Rita Ranch;141166040
1028571.06266404;404893.00000000;T13DV01744;COMPLIAN;RES: MINIMUM HOUSING;2013-03-21 00:00:00;PROPERTY OWNER TORN AC UNIT FROM ROOF FROM THE INSIDE.;6420 E STAR MICA ST      ;NULL;141095560
1049682.12500000;404895.59383202;T13DV02783;COMPLIAN;WEEDS;2013-04-29 00:00:00;WEEDS ON PROPERTY ---;9625 E GLASGOW PL      ;Rita Ranch;141141490
1049682.12500000;404895.59383202;T13DV05914;PENDING ;WEEDS;2013-08-13 00:00:00;Weeds on property;9625 E GLASGOW PL      ;Rita Ranch;141141490
1049682.12500000;404895.59383202;T12DV09549;COMPLIAN;WEEDS;2012-10-10 00:00:00;Overgrown weeds on property;9625 E GLASGOW PL      ;Rita Ranch;141141490
